watchlist_id,customer_id,customer_name,date_of_birth,country,nationality,list_type,risk_level,source
WATCH_5391,CUST_5391,Nicholas Mathis,1993-11-30,Australia,France,FRAUD_ALERT,HIGH,OFAC
WATCH_1214,CUST_1214,Andrew Ellis,1953-04-15,Brazil,Singapore,PEP,HIGH,OFAC
WATCH_4611,CUST_4611,Rachel Wilson,2004-02-19,UAE,UAE,BLACKLIST,HIGH,Internal Bank List
WATCH_2407,CUST_2407,Patrick Chung,2006-03-14,France,USA,PEP,HIGH,FATF
WATCH_2276,CUST_2276,Patricia Schmidt,1983-03-01,Brazil,Germany,BLACKLIST,HIGH,OFAC
WATCH_6626,CUST_6626,Amanda Mitchell,1958-01-31,UK,Germany,BLACKLIST,HIGH,FATF
WATCH_923,CUST_923,Jennifer Brooks,1970-08-30,USA,Germany,BLACKLIST,HIGH,Internal Bank List
WATCH_9370,CUST_9370,Justin Hall,1965-04-28,Canada,UAE,PEP,HIGH,Internal Bank List
WATCH_1153,CUST_1153,Brittany Adams,2006-05-12,UK,Germany,BLACKLIST,HIGH,OFAC
WATCH_3841,CUST_3841,Luis Brown,1967-12-24,UK,India,PEP,HIGH,OFAC
WATCH_4447,CUST_4447,Jessica Walton,1982-01-21,Germany,Germany,SANCTIONS,HIGH,Internal Bank List
WATCH_4938,CUST_4938,Michael Schwartz,1948-11-19,Brazil,Brazil,BLACKLIST,HIGH,FATF
WATCH_4574,CUST_4574,Ann Rubio,1983-11-15,Canada,UAE,FRAUD_ALERT,HIGH,OFAC
WATCH_1723,CUST_1723,Janet Roberts DDS,1960-12-07,USA,Canada,BLACKLIST,HIGH,Internal Bank List
WATCH_2465,CUST_2465,Caitlin Lopez,1958-01-14,Brazil,Australia,BLACKLIST,HIGH,Internal Bank List
WATCH_677,CUST_677,Antonio Jackson,1956-01-14,USA,Singapore,PEP,HIGH,Internal Bank List
WATCH_3816,CUST_3816,David Salazar,1972-12-14,UK,Singapore,PEP,HIGH,OFAC
WATCH_4781,CUST_4781,Michael Johnson,1952-10-30,UAE,Australia,FRAUD_ALERT,HIGH,OFAC
WATCH_4180,CUST_4180,Ashley Cruz,1996-09-08,UAE,USA,PEP,HIGH,Internal Bank List
WATCH_4921,CUST_4921,Brian Keller,2008-01-02,USA,France,SANCTIONS,HIGH,OFAC
WATCH_1729,CUST_1729,Shelly Thompson,1982-12-08,USA,UK,SANCTIONS,HIGH,OFAC
WATCH_9200,CUST_9200,Abigail Gray,1977-05-27,India,USA,BLACKLIST,HIGH,FATF
WATCH_6405,CUST_6405,Benjamin Miller,1981-04-21,Australia,Germany,FRAUD_ALERT,HIGH,OFAC
WATCH_2006,CUST_2006,Heather Ferguson,2008-07-19,UAE,UK,BLACKLIST,HIGH,FATF
WATCH_3034,CUST_3034,Jay Diaz,1998-11-02,France,Germany,FRAUD_ALERT,HIGH,OFAC
WATCH_2483,CUST_2483,Kyle Gillespie,1959-05-11,USA,Singapore,PEP,HIGH,Internal Bank List
WATCH_46,CUST_46,Todd Nunez,1999-12-31,USA,India,SANCTIONS,HIGH,FATF
WATCH_456,CUST_456,Rebecca Kim,1958-02-11,Brazil,Brazil,BLACKLIST,HIGH,OFAC
WATCH_2258,CUST_2258,Chad Richardson,1977-03-28,Brazil,India,SANCTIONS,HIGH,OFAC
WATCH_7167,CUST_7167,Chase Anderson,2004-07-11,Germany,USA,BLACKLIST,HIGH,FATF
WATCH_7851,CUST_7851,Timothy Boyle,1963-05-15,Germany,Australia,FRAUD_ALERT,HIGH,FATF
WATCH_3618,CUST_3618,Raymond Colon,1956-06-29,Singapore,France,FRAUD_ALERT,HIGH,FATF
WATCH_3693,CUST_3693,Jason Velasquez,2001-05-25,Singapore,France,PEP,HIGH,Internal Bank List
WATCH_3031,CUST_3031,Julia Hancock,1968-11-17,Singapore,India,SANCTIONS,HIGH,Internal Bank List
WATCH_7882,CUST_7882,Daniel Lozano,1998-06-09,France,Canada,FRAUD_ALERT,HIGH,FATF
WATCH_876,CUST_876,Morgan Ortiz,1950-05-21,France,France,PEP,HIGH,Internal Bank List
WATCH_6072,CUST_6072,Marcus Lawson,1975-12-05,USA,USA,BLACKLIST,HIGH,OFAC
WATCH_3991,CUST_3991,Sarah King,1974-07-09,Australia,India,FRAUD_ALERT,HIGH,FATF
WATCH_3381,CUST_3381,John Pierce,1990-08-22,UK,India,PEP,HIGH,FATF
WATCH_7972,CUST_7972,Brandon Harding,1990-12-19,France,UK,BLACKLIST,HIGH,Internal Bank List
WATCH_1796,CUST_1796,Timothy Campbell,1999-01-12,USA,USA,SANCTIONS,HIGH,FATF
WATCH_3716,CUST_3716,Keith Wood,1947-10-09,Australia,USA,SANCTIONS,HIGH,OFAC
WATCH_3504,CUST_3504,Shelley Ford,1995-06-19,Singapore,France,SANCTIONS,HIGH,FATF
WATCH_2495,CUST_2495,Jessica Smith,2005-09-30,Australia,Singapore,FRAUD_ALERT,HIGH,FATF
WATCH_7784,CUST_7784,Keith Hill,1997-11-01,Brazil,USA,PEP,HIGH,FATF
WATCH_9709,CUST_9709,Breanna Lester,1976-09-16,India,Australia,SANCTIONS,HIGH,FATF
WATCH_3117,CUST_3117,Robert Gallagher,1976-09-15,France,Australia,SANCTIONS,HIGH,Internal Bank List
WATCH_1048,CUST_1048,Steven Owens,1963-10-02,Germany,Singapore,PEP,HIGH,OFAC
WATCH_7133,CUST_7133,Angelica Williams,1961-01-19,Brazil,Germany,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_6193,CUST_6193,Brian Villegas,1963-10-18,UAE,India,BLACKLIST,HIGH,Internal Bank List
WATCH_8294,CUST_8294,Vanessa Jones,2002-07-08,Brazil,Australia,SANCTIONS,HIGH,Internal Bank List
WATCH_9291,CUST_9291,William Wilson,2003-02-28,USA,Canada,SANCTIONS,HIGH,FATF
WATCH_1506,CUST_1506,Nicholas Beltran,1998-11-24,Germany,Singapore,SANCTIONS,HIGH,Internal Bank List
WATCH_96,CUST_96,Dawn Wells,1973-10-08,Brazil,USA,FRAUD_ALERT,HIGH,OFAC
WATCH_3175,CUST_3175,Carol Walters,1957-06-24,Singapore,UK,FRAUD_ALERT,HIGH,FATF
WATCH_3514,CUST_3514,Mrs. Sarah Watkins,1973-11-10,UK,Singapore,BLACKLIST,HIGH,Internal Bank List
WATCH_6745,CUST_6745,Ashley Novak,2008-04-15,Germany,UAE,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_5137,CUST_5137,Jennifer Hoffman,1960-06-27,Canada,France,BLACKLIST,HIGH,OFAC
WATCH_6071,CUST_6071,Christine Anderson,1962-07-19,Canada,Australia,BLACKLIST,HIGH,Internal Bank List
WATCH_7022,CUST_7022,Rita Lee,1998-09-26,Germany,UK,FRAUD_ALERT,HIGH,FATF
WATCH_6555,CUST_6555,James Scott,1977-06-07,USA,Canada,BLACKLIST,HIGH,OFAC
WATCH_9785,CUST_9785,Howard Willis DDS,1976-11-18,Brazil,France,PEP,HIGH,FATF
WATCH_2703,CUST_2703,Kevin Murphy,1962-06-08,India,Singapore,BLACKLIST,HIGH,Internal Bank List
WATCH_6673,CUST_6673,Catherine Mitchell,1951-03-02,Canada,France,FRAUD_ALERT,HIGH,OFAC
WATCH_3594,CUST_3594,Andrea Stone,1959-09-15,USA,Singapore,FRAUD_ALERT,HIGH,OFAC
WATCH_4276,CUST_4276,Justin Young,1988-09-07,USA,UAE,BLACKLIST,HIGH,OFAC
WATCH_9840,CUST_9840,Gwendolyn Larson,1998-03-31,Singapore,UAE,PEP,HIGH,FATF
WATCH_208,CUST_208,Emily Parrish,1978-03-08,Brazil,Germany,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_2577,CUST_2577,Danny Knox,1973-10-29,France,Germany,FRAUD_ALERT,HIGH,FATF
WATCH_7781,CUST_7781,Matthew Collins,1960-02-27,Singapore,Canada,SANCTIONS,HIGH,Internal Bank List
WATCH_2753,CUST_2753,Katrina Mcclain,1950-01-17,UK,Australia,PEP,HIGH,OFAC
WATCH_9422,CUST_9422,Veronica Austin,1966-06-19,UK,Brazil,PEP,HIGH,Internal Bank List
WATCH_185,CUST_185,Sarah Butler,1999-09-05,UAE,USA,SANCTIONS,HIGH,OFAC
WATCH_6195,CUST_6195,Mitchell Sullivan,2006-09-22,UAE,Germany,FRAUD_ALERT,HIGH,FATF
WATCH_4664,CUST_4664,Bethany Rodriguez,2004-06-07,Germany,Germany,SANCTIONS,HIGH,OFAC
WATCH_9707,CUST_9707,Sally Wheeler,1958-06-29,Australia,Singapore,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_2723,CUST_2723,Robert Weaver,1983-08-20,France,Brazil,FRAUD_ALERT,HIGH,FATF
WATCH_3526,CUST_3526,Deanna Ramos,1978-06-25,Brazil,Singapore,SANCTIONS,HIGH,Internal Bank List
WATCH_8064,CUST_8064,Kevin Bradley,2004-09-15,Singapore,Singapore,FRAUD_ALERT,HIGH,OFAC
WATCH_1390,CUST_1390,Steven Dougherty,1954-09-26,Canada,France,BLACKLIST,HIGH,OFAC
WATCH_9487,CUST_9487,Caitlyn Harris,2006-04-24,Australia,UAE,SANCTIONS,HIGH,FATF
WATCH_9102,CUST_9102,Robert Ramirez,1989-05-17,France,UAE,PEP,HIGH,FATF
WATCH_7951,CUST_7951,Nicholas Palmer,1956-08-17,USA,UK,PEP,HIGH,Internal Bank List
WATCH_7536,CUST_7536,David Wagner,1975-09-30,France,UK,PEP,HIGH,FATF
WATCH_7913,CUST_7913,Erica Weaver,1970-03-20,USA,UAE,BLACKLIST,HIGH,OFAC
WATCH_395,CUST_395,Erica Acevedo,1976-07-01,Germany,Australia,SANCTIONS,HIGH,FATF
WATCH_440,CUST_440,David Cook,1994-01-13,USA,Brazil,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_122,CUST_122,Michael Burnett,1955-03-21,Brazil,Brazil,BLACKLIST,HIGH,Internal Bank List
WATCH_2248,CUST_2248,Nicholas Palmer,1950-02-09,Australia,Singapore,PEP,HIGH,Internal Bank List
WATCH_2305,CUST_2305,Andrea Foster,1973-08-24,UK,Australia,BLACKLIST,HIGH,OFAC
WATCH_6240,CUST_6240,Brad Campbell,1955-07-24,UK,UK,PEP,HIGH,FATF
WATCH_1706,CUST_1706,Robert Wright,1959-08-07,UAE,Singapore,PEP,HIGH,FATF
WATCH_4047,CUST_4047,Julie Martin,1986-07-13,Brazil,USA,PEP,HIGH,FATF
WATCH_6898,CUST_6898,Jon Gibbs,1977-09-02,UAE,UAE,SANCTIONS,HIGH,OFAC
WATCH_3567,CUST_3567,Rachael Lawson,1946-11-01,UAE,Australia,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_5330,CUST_5330,Dennis Smith,1962-07-08,France,Germany,PEP,HIGH,OFAC
WATCH_3411,CUST_3411,Brian Hubbard,1999-05-12,Germany,UAE,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_5924,CUST_5924,Carlos Dougherty,1988-02-02,India,Australia,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_4477,CUST_4477,Katherine Grimes,2002-07-08,UK,Australia,BLACKLIST,HIGH,FATF
WATCH_8347,CUST_8347,Trevor Hebert,2003-09-11,Singapore,France,PEP,HIGH,FATF
WATCH_4413,CUST_4413,Kyle Johnson,2002-07-28,Singapore,USA,BLACKLIST,HIGH,OFAC
WATCH_3251,CUST_3251,Christy Burnett,2007-06-14,Brazil,Singapore,BLACKLIST,HIGH,FATF
WATCH_8062,CUST_8062,Thomas Bennett,1966-10-11,Germany,Australia,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_210,CUST_210,Kenneth Anderson,1965-03-09,Singapore,UAE,SANCTIONS,HIGH,OFAC
WATCH_9036,CUST_9036,Frances Salazar,1948-05-06,India,Canada,FRAUD_ALERT,HIGH,OFAC
WATCH_6550,CUST_6550,Theresa Olson,1968-06-20,USA,Singapore,SANCTIONS,HIGH,FATF
WATCH_4201,CUST_4201,Allison Gonzalez,1988-05-30,Singapore,Brazil,BLACKLIST,HIGH,FATF
WATCH_3880,CUST_3880,Jody Fleming,1992-08-15,Germany,Canada,BLACKLIST,HIGH,Internal Bank List
WATCH_5722,CUST_5722,Kara Compton,1977-09-02,France,Germany,PEP,HIGH,Internal Bank List
WATCH_7690,CUST_7690,Melissa Brown,2000-08-15,Singapore,USA,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_5927,CUST_5927,Kimberly Cooley,1997-06-06,USA,Canada,PEP,HIGH,FATF
WATCH_6739,CUST_6739,Ryan Brown,2007-11-18,Germany,France,BLACKLIST,HIGH,OFAC
WATCH_3704,CUST_3704,Jason Logan Jr.,2002-07-25,Germany,India,PEP,HIGH,OFAC
WATCH_4699,CUST_4699,Tony Watkins,1965-03-02,India,Canada,FRAUD_ALERT,HIGH,OFAC
WATCH_2103,CUST_2103,April Vaughn,1976-09-28,Germany,India,BLACKLIST,HIGH,FATF
WATCH_7455,CUST_7455,Holly Chandler,1996-03-23,UK,UAE,PEP,HIGH,FATF
WATCH_9401,CUST_9401,Andrew Davis,2008-04-15,Singapore,France,SANCTIONS,HIGH,Internal Bank List
WATCH_6631,CUST_6631,Keith Ross,1998-08-21,UAE,Brazil,FRAUD_ALERT,HIGH,FATF
WATCH_3063,CUST_3063,Alexandra Holmes,1963-09-23,India,India,SANCTIONS,HIGH,FATF
WATCH_3750,CUST_3750,Kim Hernandez,1989-08-29,UK,Germany,PEP,HIGH,FATF
WATCH_5299,CUST_5299,Michael Thompson,1952-06-15,Germany,USA,BLACKLIST,HIGH,Internal Bank List
WATCH_6385,CUST_6385,Larry Alvarado,1959-07-13,Canada,Canada,SANCTIONS,HIGH,Internal Bank List
WATCH_9060,CUST_9060,Caitlin Gonzalez,2006-11-17,India,Germany,BLACKLIST,HIGH,Internal Bank List
WATCH_4373,CUST_4373,Brad Smith,1986-10-03,Singapore,Canada,FRAUD_ALERT,HIGH,FATF
WATCH_3890,CUST_3890,Emily Lee,1978-10-18,France,UAE,PEP,HIGH,FATF
WATCH_2578,CUST_2578,Theodore Kerr,1993-12-25,UAE,France,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_7667,CUST_7667,Shelby Vance,1982-05-01,France,Australia,FRAUD_ALERT,HIGH,OFAC
WATCH_4411,CUST_4411,Anne Guzman,1986-11-09,UAE,Brazil,FRAUD_ALERT,HIGH,FATF
WATCH_2375,CUST_2375,Daniel Mcbride,1955-10-11,India,Germany,SANCTIONS,HIGH,OFAC
WATCH_4624,CUST_4624,Christopher Thomas,1988-05-04,Canada,USA,PEP,HIGH,FATF
WATCH_2892,CUST_2892,John Sparks,1951-01-19,Australia,Australia,PEP,HIGH,Internal Bank List
WATCH_9646,CUST_9646,John Kim,1981-06-07,UK,India,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_1861,CUST_1861,Joseph Hernandez,1958-01-20,India,UK,SANCTIONS,HIGH,FATF
WATCH_8878,CUST_8878,Jennifer Nolan,1990-12-19,Australia,India,BLACKLIST,HIGH,Internal Bank List
WATCH_9049,CUST_9049,Lauren Bentley,1952-09-15,UAE,UAE,SANCTIONS,HIGH,Internal Bank List
WATCH_6001,CUST_6001,Christian Todd,1953-11-19,USA,India,PEP,HIGH,FATF
WATCH_874,CUST_874,Courtney Allen,1998-05-04,Brazil,India,BLACKLIST,HIGH,Internal Bank List
WATCH_809,CUST_809,Cody Romero,1980-06-19,UAE,USA,SANCTIONS,HIGH,OFAC
WATCH_3536,CUST_3536,Timothy Castillo,1993-05-14,Brazil,Singapore,FRAUD_ALERT,HIGH,FATF
WATCH_7086,CUST_7086,Jennifer Bradshaw,1973-01-16,Germany,Germany,SANCTIONS,HIGH,OFAC
WATCH_7818,CUST_7818,Roger Delgado,1957-08-03,USA,India,BLACKLIST,HIGH,Internal Bank List
WATCH_382,CUST_382,Donald Shelton,1970-11-21,USA,UAE,FRAUD_ALERT,HIGH,FATF
WATCH_5228,CUST_5228,Jennifer Klein,1991-07-11,UAE,France,BLACKLIST,HIGH,OFAC
WATCH_7198,CUST_7198,Brian Wallace,1967-02-21,Brazil,UK,PEP,HIGH,OFAC
WATCH_8385,CUST_8385,Albert Mcdonald,1991-04-01,Singapore,Australia,SANCTIONS,HIGH,FATF
WATCH_2536,CUST_2536,Andre Hammond,1957-10-02,Australia,UAE,FRAUD_ALERT,HIGH,FATF
WATCH_1561,CUST_1561,Edwin Collins,2007-07-21,Singapore,USA,BLACKLIST,HIGH,Internal Bank List
WATCH_3500,CUST_3500,Casey Stephens,1996-08-07,France,Canada,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_2409,CUST_2409,Johnny Carpenter,1993-08-06,India,UAE,SANCTIONS,HIGH,FATF
WATCH_9135,CUST_9135,Crystal Collins,1973-07-18,UK,UAE,FRAUD_ALERT,HIGH,FATF
WATCH_7435,CUST_7435,Frank Johnson,1957-05-25,Australia,UAE,FRAUD_ALERT,HIGH,FATF
WATCH_8016,CUST_8016,Michael Clements,1975-09-10,UAE,Germany,SANCTIONS,HIGH,FATF
WATCH_680,CUST_680,Victoria Brown,1989-02-11,Brazil,Brazil,BLACKLIST,HIGH,Internal Bank List
WATCH_4371,CUST_4371,Carolyn Mitchell,1996-09-18,USA,France,BLACKLIST,HIGH,Internal Bank List
WATCH_8861,CUST_8861,Andrew Green,1975-09-18,UAE,France,BLACKLIST,HIGH,Internal Bank List
WATCH_5072,CUST_5072,Stacy Anderson,1986-06-17,India,Singapore,PEP,HIGH,FATF
WATCH_7685,CUST_7685,Clayton Mcgrath,1977-04-05,UAE,UK,FRAUD_ALERT,HIGH,FATF
WATCH_5614,CUST_5614,Tonya Hawkins,2006-12-31,UAE,UK,SANCTIONS,HIGH,Internal Bank List
WATCH_755,CUST_755,Regina Gonzales,1998-01-27,UAE,Australia,PEP,HIGH,OFAC
WATCH_4093,CUST_4093,Judith Hinton,1958-04-24,India,Singapore,BLACKLIST,HIGH,Internal Bank List
WATCH_799,CUST_799,Amy George,1959-08-20,Australia,India,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_8838,CUST_8838,Joshua Lambert,1968-10-29,USA,France,BLACKLIST,HIGH,OFAC
WATCH_5566,CUST_5566,Robert Wilson,1994-01-16,Germany,Singapore,BLACKLIST,HIGH,Internal Bank List
WATCH_8013,CUST_8013,William Flores,1992-01-22,Singapore,Australia,PEP,HIGH,FATF
WATCH_2091,CUST_2091,Gabriel Pineda,1997-08-16,UAE,Australia,PEP,HIGH,FATF
WATCH_9633,CUST_9633,Virginia Lopez,1992-04-11,USA,UK,BLACKLIST,HIGH,OFAC
WATCH_2656,CUST_2656,Glenn Snyder,1957-04-19,Canada,France,FRAUD_ALERT,HIGH,OFAC
WATCH_1098,CUST_1098,Molly Orozco,1979-04-03,India,USA,BLACKLIST,HIGH,Internal Bank List
WATCH_2262,CUST_2262,Samantha Taylor,2003-03-29,USA,Brazil,SANCTIONS,HIGH,OFAC
WATCH_7078,CUST_7078,Kevin Price,1994-01-24,Australia,UK,FRAUD_ALERT,HIGH,OFAC
WATCH_8060,CUST_8060,Stephen Hoffman,2007-03-23,USA,Singapore,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_2959,CUST_2959,Julia Williams,1967-11-14,Canada,Germany,BLACKLIST,HIGH,OFAC
WATCH_4863,CUST_4863,Crystal Martin,2000-07-03,Canada,Singapore,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_2589,CUST_2589,Juan Sanchez,1982-12-31,France,Germany,SANCTIONS,HIGH,Internal Bank List
WATCH_5890,CUST_5890,Edward Porter,2003-07-19,UK,Singapore,FRAUD_ALERT,HIGH,FATF
WATCH_4133,CUST_4133,Deanna Nichols,1956-01-28,India,UK,FRAUD_ALERT,HIGH,OFAC
WATCH_2123,CUST_2123,Timothy Clay,1989-06-25,UAE,Germany,BLACKLIST,HIGH,FATF
WATCH_632,CUST_632,Barbara Mccormick,2007-01-09,Singapore,USA,FRAUD_ALERT,HIGH,FATF
WATCH_3149,CUST_3149,Mary Walton,1957-03-29,Australia,USA,SANCTIONS,HIGH,FATF
WATCH_1769,CUST_1769,Christopher Walters,1973-04-27,Australia,France,FRAUD_ALERT,HIGH,OFAC
WATCH_3538,CUST_3538,Austin Phillips,1995-05-12,UAE,USA,BLACKLIST,HIGH,Internal Bank List
WATCH_2437,CUST_2437,Mr. Shane Campbell,1992-10-31,France,UK,FRAUD_ALERT,HIGH,OFAC
WATCH_4427,CUST_4427,Jared Fox,1951-11-15,Australia,USA,BLACKLIST,HIGH,Internal Bank List
WATCH_6480,CUST_6480,Samantha Ryan,1951-12-01,Germany,UAE,SANCTIONS,HIGH,Internal Bank List
WATCH_8341,CUST_8341,Larry Hernandez,2008-07-13,USA,USA,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_1965,CUST_1965,Thomas Peterson,1975-04-01,India,UAE,PEP,HIGH,OFAC
WATCH_4693,CUST_4693,Lisa Hamilton,2007-04-17,Brazil,Singapore,FRAUD_ALERT,HIGH,OFAC
WATCH_2376,CUST_2376,Michael Hall,1974-12-08,Germany,UAE,PEP,HIGH,FATF
WATCH_4057,CUST_4057,Joshua Hernandez,1984-04-23,UAE,France,FRAUD_ALERT,HIGH,FATF
WATCH_5658,CUST_5658,Bethany Brooks,2007-10-26,USA,Australia,FRAUD_ALERT,HIGH,OFAC
WATCH_3568,CUST_3568,Laurie Hamilton,1990-11-02,France,UK,PEP,HIGH,Internal Bank List
WATCH_3771,CUST_3771,Ashley Combs,1976-05-17,India,USA,BLACKLIST,HIGH,Internal Bank List
WATCH_4341,CUST_4341,Laura Barton,2000-02-17,Australia,Australia,PEP,HIGH,Internal Bank List
WATCH_9773,CUST_9773,Jeffrey Lewis,1995-11-15,UAE,UAE,SANCTIONS,HIGH,Internal Bank List
WATCH_4408,CUST_4408,Cole Wright,1955-04-30,France,India,FRAUD_ALERT,HIGH,OFAC
WATCH_1825,CUST_1825,Brittany Walker,1979-09-05,UK,Singapore,SANCTIONS,HIGH,Internal Bank List
WATCH_1431,CUST_1431,Joanna Little,1967-12-13,France,Singapore,SANCTIONS,HIGH,OFAC
WATCH_6787,CUST_6787,Kenneth White,1996-01-08,USA,UK,SANCTIONS,HIGH,FATF
WATCH_1411,CUST_1411,Jordan Hale,1988-02-28,Canada,Brazil,PEP,HIGH,OFAC
WATCH_1050,CUST_1050,Cynthia Lutz,1997-08-03,Brazil,India,PEP,HIGH,OFAC
WATCH_9593,CUST_9593,Allison Delgado,1948-06-04,USA,Canada,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_9266,CUST_9266,John Reynolds,1952-06-14,Germany,Germany,PEP,HIGH,Internal Bank List
WATCH_3796,CUST_3796,Brooke Beck,1976-02-08,Brazil,France,SANCTIONS,HIGH,FATF
WATCH_6295,CUST_6295,Morgan Garcia,2008-05-01,Canada,USA,FRAUD_ALERT,HIGH,OFAC
WATCH_5690,CUST_5690,Randall Abbott,1956-08-17,Germany,USA,PEP,HIGH,Internal Bank List
WATCH_7694,CUST_7694,Vincent Coleman,1960-09-20,France,India,BLACKLIST,HIGH,Internal Bank List
WATCH_2927,CUST_2927,Desiree Watson,2004-10-27,Brazil,India,BLACKLIST,HIGH,Internal Bank List
WATCH_4756,CUST_4756,Nicholas Greene,2006-12-18,Germany,UK,SANCTIONS,HIGH,FATF
WATCH_5543,CUST_5543,Laura Anderson,1964-09-29,Australia,Singapore,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_846,CUST_846,Angela Edwards,1987-09-15,USA,Australia,BLACKLIST,HIGH,Internal Bank List
WATCH_1911,CUST_1911,Casey Kemp,2007-03-21,India,Germany,FRAUD_ALERT,HIGH,OFAC
WATCH_8544,CUST_8544,Jason Miller,1979-11-30,France,UK,PEP,HIGH,OFAC
WATCH_176,CUST_176,Joshua Cabrera,1980-10-02,India,France,PEP,HIGH,FATF
WATCH_6069,CUST_6069,Joanna Ryan,1969-07-08,USA,India,SANCTIONS,HIGH,OFAC
WATCH_5534,CUST_5534,Jeremy Romero,1954-12-24,USA,Brazil,PEP,HIGH,OFAC
WATCH_8218,CUST_8218,Bethany Montoya,2008-04-08,UAE,France,FRAUD_ALERT,HIGH,OFAC
WATCH_5695,CUST_5695,Natalie Long,1982-09-04,Singapore,Brazil,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_6556,CUST_6556,Janet Glover,1988-08-17,Germany,India,PEP,HIGH,OFAC
WATCH_330,CUST_330,Thomas Erickson,1993-06-13,Brazil,Brazil,SANCTIONS,HIGH,FATF
WATCH_5881,CUST_5881,Greg Duran,1957-03-26,UK,USA,PEP,HIGH,OFAC
WATCH_5716,CUST_5716,Mr. Peter Maynard,1946-07-06,USA,Australia,PEP,HIGH,Internal Bank List
WATCH_7813,CUST_7813,Abigail Johnson,1995-11-01,Singapore,Brazil,FRAUD_ALERT,HIGH,FATF
WATCH_5063,CUST_5063,Darryl Collins,2002-06-27,France,UAE,PEP,HIGH,Internal Bank List
WATCH_2853,CUST_2853,Carlos Little,1963-03-06,Brazil,India,SANCTIONS,HIGH,Internal Bank List
WATCH_5736,CUST_5736,Lee Day,1992-03-18,Canada,India,FRAUD_ALERT,HIGH,FATF
WATCH_15,CUST_15,Erika Pineda,1947-05-22,India,France,PEP,HIGH,Internal Bank List
WATCH_8886,CUST_8886,Frank Jones,1973-04-02,UAE,UAE,PEP,HIGH,Internal Bank List
WATCH_462,CUST_462,Daniel Navarro,1957-06-10,France,Canada,PEP,HIGH,OFAC
WATCH_6836,CUST_6836,Michael Daniels,1970-06-22,France,Germany,FRAUD_ALERT,HIGH,Internal Bank List
